year,year_rank,group_name,artist,song_name,id
1986,54,Genesis,Genesis,Invisible Touch,3136
1986,55,Sade,Sade,The Sweetest Taboo,3137
1986,56,INXS,INXS,What You Need,3138
1986,57,Stevie Nicks,Stevie Nicks,Talk To Me,3139
1986,58,Janet Jackson,Janet Jackson,Nasty,3140
1986,59,Eddie Money,Eddie Money,Take Me Home Tonight,3141
1986,60,Jermaine Stewart,Jermaine Stewart,We Don't Have To Take Our Clothes Off,3142
1986,61,Lisa Lisa and Cult Jam With Full Force,Lisa Lisa and Cult Jam,All Cried Out,3143
1986,61,Lisa Lisa and Cult Jam With Full Force,Full Force,All Cried Out,3144
1986,62,Outfield,Outfield,Your Love,3145
1986,63,Wham!,Wham!,I'm Your Man,3146
1986,64,Scritti Politti,Scritti Politti,Perfect Way,3147
1986,65,James Brown,James Brown,Living In America,3148
1986,66,John Cougar Mellencamp,John Cougar Mellencamp,R.O.C.K. In The U.S.A.,3149
1986,67,El Debarge,El Debarge,Who's Johnny,3150
1986,68,Cameo,Cameo,Word Up,3151
1986,69,Van Halen,Van Halen,Why Can't This Be Love,3152
1986,70,Mike and The Mechanics,Mike and The Mechanics,Silent Running,3153
1986,71,Tina Turner,Tina Turner,Typical Male,3154
1986,72,John Cougar Mellencamp,John Cougar Mellencamp,Small Town,3155
1986,73,Baltimora,Baltimora,Tarzan Boy,3156
1986,74,Mike and The Mechanics,Mike and The Mechanics,All I Need Is A Miracle,3157
1986,75,Michael McDonald,Michael McDonald,Sweet Freedom,3158
1986,76,Madonna,Madonna,True Blue,3159
1986,77,Timex Social Club,Timex Social Club,Rumors,3160
1986,78,Dream Academy,Dream Academy,Life In A Northern Town,3161
1986,79,Miami Sound Machine,Miami Sound Machine,Bad Boy,3162
1986,80,ZZ Top,ZZ Top,Sleeping Bag,3163
1986,81,Cars,Cars,Tonight She Comes,3164
1986,82,Rod Stewart,Rod Stewart,Love Touch,3165
1986,83,Sheila E.,Sheila E.,A Love Bizarre,3166
1986,84,Genesis,Genesis,Throwing It All Away,3167
1986,85,Regina,Regina,Baby Love,3168
1986,86,Arcadia,Arcadia,Election Day,3169
1986,87,Elton John,Elton John,Nikita,3170
1986,88,Phil Collins,Phil Collins,Take Me Home,3171
1986,89,Run-D.M.C.,Run-D.M.C.,Walk This Way,3172
1986,90,Anita Baker,Anita Baker,Sweet Love,3173
1986,91,Moody Blues,Moody Blues,Your Wildest Dreams,3174
1986,92,Paul McCartney,Paul McCartney,Spies Like Us,3175
1986,93,Starpoint,Starpoint,Object Of My Desire,3176
1986,94,Daryl Hall,Daryl Hall,Dreamtime,3177
1986,95,Force M.D.'s,Force M.D.'s,Tender Love,3178
1986,96,Thompson Twins,Thompson Twins,King For A Day,3179
1986,97,Lionel Richie,Lionel Richie,Love Will Conquer All,3180
1986,98,George Michael,George Michael,A Different Corner,3181
1986,99,Toto,Toto,I'll Be Over You,3182
1986,100,Stevie Wonder,Stevie Wonder,Go Home,3183
1987,1,Bangles,Bangles,Walk Like An Egyptian,3184
1987,2,Heart,Heart,Alone,3185
1987,3,Gregory Abbott,Gregory Abbott,Shake You Down,3186
1987,4,Whitney Houston,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),3187
1987,5,Starship,Starship,Nothing's Gonna Stop Us Now,3188
1987,6,Robbie Nevil,Robbie Nevil,C'est La Vie,3189
1987,7,Whitesnake,Whitesnake,Here I Go Again,3190
1987,8,Bruce Hornsby and The Range,Bruce Hornsby and The Range,The Way It Is,3191
1987,9,Bob Seger,Bob Seger,Shakedown,3192
1987,10,Bon Jovi,Bon Jovi,Livin' On A Prayer,3193
1987,11,Los Lobos,Los Lobos,La Bamba,3194
1987,12,Wang Chung,Wang Chung,Everybody Have Fun Tonight,3195
1987,13,Crowded House,Crowded House,Don't Dream It's Over,3196
1987,14,Atlantic Starr,Atlantic Starr,Always,3197
1987,15,U2,U2,With Or Without You,3198
1987,16,Jody Watley,Jody Watley,Looking For A New Love,3199
1987,17,Lisa Lisa and Cult Jam,Lisa Lisa and Cult Jam,Head To Toe,3200
1987,18,Tiffany,Tiffany,I Think We're Alone Now,3201
1987,19,Billy Idol,Billy Idol,Mony Mony,3202
1987,20,Billy Vera and The Beaters,Billy Vera and The Beaters,At This Moment,3203
1987,21,Chris De Burgh,Chris De Burgh,The Lady In Red,3204
1987,22,Whitney Houston,Whitney Houston,Didn't We Almost Have It All,3205
1987,23,U2,U2,I Still Haven't Found What I'm Looking For,3206
1987,24,George Michael,George Michael,I Want Your Sex,3207
1987,25,Duran Duran,Duran Duran,Notorious,3208
1987,26,Debbie Gibson,Debbie Gibson,Only In My Dreams,3209
1987,27,Bill Medley and Jennifer Warnes,Bill Medley,(I've Had) The Time Of My Life,3210
1987,27,Bill Medley and Jennifer Warnes,Jennifer Warnes,(I've Had) The Time Of My Life,3211
1987,28,Peter Cetera and Amy Grant,Peter Cetera,The Next Time I Fall,3212
1987,28,Peter Cetera and Amy Grant,Amy Grant,The Next Time I Fall,3213
1987,29,Club Nouveau,Club Nouveau,Lean On Me,3214
1987,30,Madonna,Madonna,Open Your Heart,3215
1987,31,Lisa Lisa and Cult Jam,Lisa Lisa and Cult Jam,Lost In Emotion,3216
1987,32,Cutting Crew,Cutting Crew,(I Just) Died In Your Arms,3217
1987,33,T'pau,T'pau,Heart And Soul,3218
1987,34,Kim Wilde,Kim Wilde,You Keep Me Hangin' On,3219
1987,35,Georgia Satellites,Georgia Satellites,Keep Your Hands To Yourself,3220
1987,36,Aretha Franklin and George Michael,Aretha Franklin,I Knew You Were Waiting (For Me),3221
1987,36,Aretha Franklin and George Michael,George Michael,I Knew You Were Waiting (For Me),3222
1987,37,Janet Jackson,Janet Jackson,Control,3223
1987,38,Prince,Prince,U Got The Look,3224
1987,39,Linda Ronstadt and James Ingram,Linda Ronstadt,Somewhere Out There,3225
1987,39,Linda Ronstadt and James Ingram,James Ingram,Somewhere Out There,3226
1987,40,Genesis,Genesis,Land Of Confusion,3227
1987,41,Huey Lewis and The News,Huey Lewis and The News,Jacob's Ladder,3228
1987,42,Madonna,Madonna,Who's That Girl,3229
1987,43,Jets,Jets,You Got It All,3230
1987,44,Samantha Fox,Samantha Fox,Touch Me (I Want Your Body),3231
1987,45,Michael Jackson and Siedah Garrett,Michael Jackson,I Just Can't Stop Loving You,3232
1987,45,Michael Jackson and Siedah Garrett,Siedah Garrett,I Just Can't Stop Loving You,3233
1987,46,Madonna,Madonna,Causing A Commotion,3234
