year,month,month_name,south_percentage,west_percentage,midwest_percentage,northeast_percentage
2003,7,July,81.7,81.3365131578948,81.2032894736842,80.8875
2003,8,August,81.8,81.3865384615385,81.2839743589744,81.024358974359
2003,9,September,90.3,89.9629746835443,89.8316455696202,89.5183544303797
2003,10,October,87.4,87.0202898550725,86.836231884058,86.595652173913
2003,11,November,81.8,81.3450516986706,81.2342688330872,81.0141802067947
2003,12,December,86.7,86.2,86.084900990099,85.8757425742574
2004,1,January,68.5,68.1450980392157,67.9921568627451,67.6862745098039
2004,2,February,66.4,65.9841035120148,65.8473197781885,65.577449168207
2004,3,March,71.9,71.4521936459909,71.2676248108926,71.0527987897126
2004,4,April,83.0,82.6128571428571,82.4071428571428,82.1514285714286
2004,5,May,84.0,83.5222513089005,83.4070680628272,83.1570680628272
2004,6,June,89.9,89.4928961748634,89.3112021857924,89.1103825136612
2004,7,July,86.4,85.9469387755102,85.8326530612245,85.5823129251701
2004,8,August,98.4,97.9126262626263,97.9088383838384,97.6083333333333
2004,9,September,86.7,86.251724137931,86.14,85.8903448275862
2004,10,October,94.8,94.4095505617977,94.2634831460674,94.0443820224719
2004,11,November,80.8,80.3339943342776,80.2008498583569,79.9954674220963
2004,12,December,102.6,102.25696969697,102.007272727273,101.767272727273
2005,1,January,71.4,71.0247933884298,70.7586776859504,70.5801652892562
2005,2,February,71.1,70.6153473344103,70.5103392568659,70.3067851373183
2005,3,March,74.2,73.832,73.5728,73.3664
2005,4,April,80.7,80.2647887323944,80.0845070422535,79.8732394366197
2005,5,May,95.7,95.2397796817625,95.1467564259486,94.872582619339
2005,6,June,90.1,89.6030525030525,89.4785103785104,89.3063492063492
2005,7,July,85.4,84.9843454790823,84.7886639676113,84.565991902834
2005,8,August,100.7,100.284498094028,100.129479034308,99.9528589580686
2005,9,September,92.4,91.9576208178439,91.7878562577447,91.5871127633209
2005,10,October,92.2,91.7372781065089,91.5775147928994,91.3644970414201
2005,11,November,87.8,87.3513157894737,87.2013157894737,86.9894736842105
2005,12,December,98.3,97.8421286031042,97.6392461197339,97.4973392461197
2006,1,January,73.6,73.112893982808,72.936676217765,72.7905444126074
2006,2,February,74.3,73.8547445255474,73.6109489051095,73.5043795620438
2006,3,March,82.6,82.0885844748858,81.8979452054794,81.7449771689498
2006,4,April,83.4,82.8955070603338,82.7414634146342,82.6207958921695
2006,5,May,81.9,81.4346153846154,81.2269230769231,81.075641025641
2006,6,June,94.0,93.557225433526,93.3387283236994,93.1791907514451
2006,7,July,79.6,79.0300822561692,78.9196239717979,78.7739130434783
2006,8,August,89.4,88.910353227771,88.7702801461632,88.5961023142509
2006,9,September,95.6,95.1348027842227,94.9538283062645,94.8088167053364
2006,10,October,85.6,85.0641638225256,84.9344709897611,84.7638225255973
2006,11,November,77.2,76.6334140435835,76.519612590799,76.3694915254237
2006,12,December,87.6,87.0476190476191,86.9068783068783,86.7619047619048
2007,1,January,60.6,60.0431314623338,59.861447562777,59.7757754800591
2007,2,February,51.2,50.6044943820225,50.4455858747994,50.3556982343499
2007,3,March,59.6,59.0961119751166,58.8643856920684,58.7508553654743
2007,4,April,56.2,55.6442700156986,55.4778649921507,55.3444270015699
2007,5,May,64.5,63.9977307110439,63.7934947049924,63.6694402420575
2007,6,June,65.0,64.4530551415797,64.2846497764531,64.2160953800298
2007,7,July,62.8,62.2680534918276,62.0867756315007,61.9634472511144
2007,8,August,67.9,67.4171428571429,67.1371428571429,67.1014285714286
2007,9,September,67.0,66.5402097902098,66.4003496503497,66.2132867132867
2007,10,October,65.0,64.450885668277,64.3123993558776,64.2673107890499
2007,11,November,63.1,62.6530035335689,62.4515901060071,62.2925795053004
2007,12,December,65.9,65.4291262135922,65.1977346278317,65.1233009708738
2008,1,January,46.2,45.6876033057851,45.4665289256198,45.3797520661157
2008,2,February,39.9,39.2430353430353,39.2160083160083,39.0496881496882
2008,3,March,43.7,43.1904458598726,42.9675159235669,42.8486199575372
2008,4,April,39.8,39.2679802955665,39.0758620689655,39.0118226600985
2008,5,May,49.0,48.439175257732,48.3134020618557,48.2371134020619
2008,6,June,49.3,48.7552529182879,48.6365758754864,48.447859922179
2008,7,July,46.7,46.2032822757112,45.953829321663,45.9428884026258
2008,8,August,45.5,44.892,44.5,44.678
2008,9,September,58.0,57.5190677966102,57.4682203389831,57.2203389830508
2008,10,October,47.2,46.675,46.525,46.3625
2008,11,November,49.1,48.6196304849885,48.4741339491917,48.3170900692841
2008,12,December,49.8,49.3122448979592,49.0510204081633,49.0326530612245
2009,1,January,27.8,27.2532374100719,27.0877697841727,27.0230215827338
2009,2,February,30.5,30.0501858736059,29.7899628252788,29.7565055762082
2009,3,March,30.9,30.4217391304348,30.1577639751553,30.0490683229814
2009,4,April,34.8,34.2353312302839,34.0870662460568,34.1438485804416
2009,5,May,34.1,33.5685714285714,33.1,33.2914285714286
2009,6,June,37.1,36.5781341107872,36.4002915451895,36.3740524781341
2009,7,July,36.0,35.5414012738853,35.2993630573248,35.2738853503185
2009,8,August,33.7,33.0510895883777,32.9881355932203,32.8525423728814
2009,9,September,35.7,35.2335570469799,35.0322147651007,34.9986577181208
2009,10,October,36.2,35.7325077399381,35.4786377708978,35.4786377708978
2009,11,November,39.9,39.413353115727,39.2887240356083,39.1522255192878
2009,12,December,36.2,35.5978494623656,35.5306451612903,35.4177419354839
2010,1,January,26.2,25.8556603773585,25.4594339622642,25.4735849056604
2010,2,February,23.5,22.9869565217391,22.7478260869565,22.7434782608696
2010,3,March,23.6,23.0807692307692,22.8192307692308,22.7692307692308
2010,4,April,26.6,25.9271028037383,25.8461059190031,25.8242990654206
2010,5,May,33.4,32.9687022900763,32.781679389313,32.6862595419847
2010,6,June,44.7,44.3253687315634,44.1365781710914,43.9271386430678
2010,7,July,25.4,24.8117647058824,24.7697478991597,24.6436974789916
2010,8,August,29.1,28.5097744360902,28.4496240601504,28.396992481203
2010,9,September,30.9,30.3943820224719,30.2295880149813,30.1958801498127
2010,10,October,29.9,29.2861003861004,29.3131274131274,29.2166023166023
2010,11,November,26.9,26.275,26.3910714285714,26.1901785714286
2010,12,December,26.8,26.1875432525952,26.1010380622837,26.0041522491349
2011,1,January,18.7,18.1161849710983,18.064161849711,17.942774566474
2011,2,February,19.9,19.2506493506494,19.1770562770563,19.0904761904762
2011,3,March,19.4,18.6913385826772,18.655905511811,18.5771653543307
2011,4,April,21.3,20.651598173516,20.637899543379,20.5374429223744
2011,5,May,26.4,25.955,25.835,25.68
2011,6,June,26.9,26.2577235772358,26.290243902439,26.2048780487805
2011,7,July,25.0,24.2871621621622,24.3277027027027,24.1959459459459
2011,8,August,31.5,30.9609665427509,30.9386617100372,30.7342007434944
2011,9,September,29.2,28.6037735849057,28.5245283018868,28.5358490566038
2011,10,October,27.5,26.8828125,26.8515625,26.80078125
2011,11,November,25.0,24.4038461538462,24.3384615384615,24.1807692307692
2011,12,December,30.7,30.1160839160839,30.0496503496504,29.9727272727273
2012,1,January,18.6,17.9191489361702,17.9085106382979,17.9085106382979
2012,2,February,20.1,19.4718592964824,19.421608040201,19.3663316582915
2012,3,March,23.3,22.7117647058824,22.6800904977376,22.5171945701357
2012,4,April,27.3,26.755938697318,26.6180076628353,26.5337164750958
2012,5,May,26.4,25.8122448979592,25.7469387755102,25.6775510204082
2012,6,June,28.1,27.4906810035842,27.4225806451613,27.358064516129
2012,7,July,32.5,31.938202247191,31.9419475655431,31.7996254681648
2012,8,August,34.9,34.4339805825243,34.2656957928803,34.0974110032362
2012,9,September,30.9,30.3529616724739,30.2588850174216,30.1299651567944
2012,10,October,32.1,31.4688524590164,31.4087431693989,31.272131147541
2012,11,November,30.1,29.5878048780488,29.4101045296167,29.3160278745645
2012,12,December,32.1,31.5540059347181,31.4086053412463,31.260237388724
2013,1,January,23.6,23.1040322580645,22.8217741935484,22.7854838709677
2013,2,February,24.4,23.8621212121212,23.6689393939394,23.555303030303
2013,3,March,33.6,33.2232876712329,32.8705479452055,32.822602739726
2013,4,April,27.7,27.1301075268817,27.0584229390681,26.868458781362
2013,5,May,28.0,27.4121405750799,27.297124600639,27.1533546325879
2013,6,June,32.9,32.3721407624633,32.1756598240469,32.0876832844575
2013,7,July,35.7,35.2108359133127,35.0219814241486,34.9414860681115
2013,8,August,34.4,33.7952879581152,33.6984293193717,33.5806282722513
2013,9,September,34.9,34.2994413407821,34.2435754189944,34.1039106145251
2013,10,October,35.7,35.1035989717224,35.0239074550129,34.8645244215938
2013,11,November,38.3,37.8223880597015,37.6731343283582,37.5179104477612
2013,12,December,37.8,37.2351351351351,37.1297297297297,37.0297297297297
2014,1,January,28.0,27.4315068493151,27.2808219178082,27.2123287671233
2014,2,February,28.8,28.2245283018868,28.1207547169811,27.9289308176101
2014,3,March,31.0,30.4190981432361,30.2599469496021,30.1167108753316
2014,4,April,30.7,30.1385964912281,29.9690058479532,29.8608187134503
2014,5,May,40.7,40.2192878338279,40.0620178041543,39.9967359050445
2014,6,June,36.3,35.7198895027624,35.6618784530387,35.4933701657459
2014,7,July,35.7,35.1441340782123,35.0603351955307,34.8648044692737
